date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
11:59:00	36953/36953	---MC-	404	error ('Not%20Found')	text/html	date:Wed,%2021%20May%202025%2008:59:00%20GMT	https://www.atxtechnology.com/robots.txt		(from )
11:59:03	69707/69707	---M-Z	200	added ('OK')	text/html	date:Wed,%2021%20May%202025%2008:59:01%20GMT	https://www.atxtechnology.com/	C:/My%20Web%20Sites/Haraka/www.atxtechnology.com/index.html	(from )
11:59:04	17380/17380	---M--	200	added ('OK')	text/javascript	date:Tue,%2003%20Mar%202020%2019:15:00%20GMT	https://ajax.googleapis.com/ajax/libs/webfont/1.5.3/webfont.js	C:/My%20Web%20Sites/Haraka/ajax.googleapis.com/ajax/libs/webfont/1.5.3/webfont.js	(from https://www.atxtechnology.com/)
11:59:05	53907/53907	---M-Z	200	added ('OK')	text/css	etag:%22d293-5b2f33a30d259-gzip%22	https://www.atxtechnology.com/wp-includes/css/dist/block-library/style.min.css?ver=5.5.15	C:/My%20Web%20Sites/Haraka/www.atxtechnology.com/wp-includes/css/dist/block-library/style.min1c3d.css	(from https://www.atxtechnology.com/)
11:59:05	2218/2218	---M-Z	200	added ('OK')	text/css	etag:%228aa-5b2f33a30d259-gzip%22	https://www.atxtechnology.com/wp-includes/css/dist/block-library/theme.min.css?ver=5.5.15	C:/My%20Web%20Sites/Haraka/www.atxtechnology.com/wp-includes/css/dist/block-library/theme.min1c3d.css	(from https://www.atxtechnology.com/)
11:59:06	1920/1920	---M-Z	200	added ('OK')	text/css	etag:%22780-5b2f926e2de5d-gzip%22	https://www.atxtechnology.com/wp-content/plugins/contact-form-7/includes/css/styles.css?ver=5.3	C:/My%20Web%20Sites/Haraka/www.atxtechnology.com/wp-content/plugins/contact-form-7/includes/css/stylesde54.css	(from https://www.atxtechnology.com/)
11:59:06	16229/16229	---M-Z	200	added ('OK')	application/rss+xml	etag:%22a73e1e231aa402f2066a7faa5764576e-gzip%22	https://www.atxtechnology.com/feed/	C:/My%20Web%20Sites/Haraka/www.atxtechnology.com/feed/index.html	(from https://www.atxtechnology.com/)
11:59:06	60053/60053	---M-Z	200	added ('OK')	text/css	etag:%22ea95-5b2f924f1105d-gzip%22	https://www.atxtechnology.com/wp-content/plugins/revslider/public/assets/css/rs6.css?ver=6.2.23	C:/My%20Web%20Sites/Haraka/www.atxtechnology.com/wp-content/plugins/revslider/public/assets/css/rs63f21.css	(from https://www.atxtechnology.com/)
11:59:06	3590/3590	---M-Z	200	added ('OK')	application/rss+xml	etag:%220ba1c3d5f1e2a307aa6fd43e8d2659e9-gzip%22	https://www.atxtechnology.com/comments/feed/	C:/My%20Web%20Sites/Haraka/www.atxtechnology.com/comments/feed/index.html	(from https://www.atxtechnology.com/)
11:59:07	485416/485416	---M-Z	200	added ('OK')	text/css	etag:%2276828-5b2f9240884e2-gzip%22	https://www.atxtechnology.com/wp-content/plugins/js_composer/assets/css/js_composer.min.css?ver=6.4.1	C:/My%20Web%20Sites/Haraka/www.atxtechnology.com/wp-content/plugins/js_composer/assets/css/js_composer.minaec2.css	(from https://www.atxtechnology.com/)
11:59:07	289604/289604	---M-Z	200	added ('OK')	text/css	etag:%2246b44-5b2f907527ac0-gzip%22	https://www.atxtechnology.com/wp-content/themes/induzy/assets/css/theme.min.css?ver=1.0	C:/My%20Web%20Sites/Haraka/www.atxtechnology.com/wp-content/themes/induzy/assets/css/theme.min5152.css	(from https://www.atxtechnology.com/)
